Player,College,DraftYear,DraftRound,DraftPick,SeasonNum,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
Marcus Smart,Oklahoma State,2014,1,6,3,20,PG,207,72,5874,11.433333333333332,0.48,0.48966666666666664,0.3046666666666667,4.033333333333333,10.633333333333333,7.3,18.033333333333335,2.6666666666666665,0.9333333333333332,13.9,17.099999999999998,1.7,7.300000000000001,9.0,0.07466666666666667,-2.0,1.0999999999999999,-0.9333333333333332,1.5,ROY-5
Marcus Thornton,William & Mary,2015,2,45,3,23,SG,196,82,5281,16.733333333333334,0.5403333333333333,0.391,0.19800000000000004,4.033333333333334,9.666666666666666,6.8,10.533333333333333,1.9000000000000001,0.3666666666666667,8.633333333333333,23.8,8.7,1.8,10.5,0.09566666666666666,2.033333333333333,-1.2666666666666666,0.7999999999999999,3.7,
Marial Shayok,Iowa State,2019,2,54,1,24,SG,4,0,28,1.4,0.4,0.5,0.333,3.9,23.7,13.8,4.8,0.0,3.0,17.9,25.8,-0.1,0.0,-0.1,-0.13,-9.3,-3.7,-13.0,-0.1,
Mark Williams,Duke,2022,1,15,3,21,C,106,77,2507,22.066666666666666,0.6603333333333333,0.0029999999999999996,0.39166666666666666,13.266666666666666,27.2,20.099999999999998,8.866666666666667,1.5,4.3,10.9,18.5,6.2,3.4000000000000004,9.6,0.18533333333333335,1.2,0.2333333333333333,1.4666666666666668,2.3,
Markel Brown,Oklahoma State,2014,2,44,3,23,SG,113,35,1794,6.3999999999999995,0.4386666666666667,0.465,0.18766666666666665,2.8666666666666667,12.966666666666667,7.933333333333334,10.0,1.3666666666666665,0.7999999999999999,15.133333333333333,15.666666666666666,-0.1,1.1,1.1,-0.00033333333333333365,-4.633333333333334,-0.7999999999999999,-5.466666666666666,-0.5,
Markelle Fultz,Washington,2017,1,1,3,19,SG,105,75,2676,12.4,0.46166666666666667,0.09133333333333332,0.21133333333333335,4.533333333333333,11.566666666666668,8.1,26.599999999999998,2.1333333333333333,0.9,13.333333333333334,21.266666666666666,0.29999999999999993,2.8,3.2,0.04766666666666667,-2.8000000000000003,0.3,-2.5,0.0,
Markieff Morris,Kansas,2011,1,13,3,22,PF,226,39,5217,14.366666666666665,0.507,0.20566666666666666,0.27466666666666667,7.2,17.933333333333334,12.566666666666668,9.5,1.8333333333333333,2.3000000000000003,12.799999999999999,21.099999999999998,3.9,5.699999999999999,9.600000000000001,0.082,-1.3333333333333333,0.3,-1.0,1.6,6MOY-4
Marquese Chriss,Washington,2016,1,8,3,19,PF,197,126,3769,10.866666666666667,0.4976666666666667,0.38400000000000006,0.289,6.533333333333334,20.8,13.466666666666669,6.599999999999999,1.7,2.9333333333333336,14.966666666666667,19.46666666666667,-1.1,3.4,2.3,0.016666666666666666,-3.7000000000000006,-0.5333333333333333,-4.166666666666667,-1.1,ROY-7
Marquis Teague,Kentucky,2012,1,29,3,19,PG,91,3,909,5.166666666666667,0.3706666666666667,0.20166666666666666,0.24966666666666668,0.9,10.1,5.466666666666666,23.633333333333336,1.7,0.7333333333333334,19.766666666666666,16.433333333333334,-1.8,0.8,-0.9,-0.042666666666666665,-5.8999999999999995,-0.3333333333333333,-6.233333333333333,-1.1,
Marvin Bagley III,Duke,2018,1,2,3,19,PF,118,52,3013,16.933333333333334,0.5426666666666667,0.16266666666666665,0.27666666666666667,10.1,21.933333333333334,15.9,5.533333333333334,0.9333333333333332,2.733333333333333,9.833333333333334,24.5,2.9,2.4,5.4,0.07333333333333333,-0.7000000000000001,-1.8666666666666665,-2.533333333333333,0.0,ROY-7
