Player,College,DraftYear,DraftRound,DraftPick,Season,SeasonNum,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
Frank Kaminsky,Wisconsin,2015,1,9,2015,1,22,CHO,C,81,3,1708,12.5,0.513,0.385,0.282,4.4,17.2,10.7,9.0,1.1,2.0,8.9,17.1,1.2,2.1,3.3,0.093,-1.0,0.2,-0.8,0.5,
Frank Kaminsky,Wisconsin,2015,1,9,2016,2,23,CHO,C,75,16,1954,13.0,0.502,0.441,0.195,3.2,15.8,9.5,13.5,1.2,1.5,8.0,21.8,0.4,1.9,2.3,0.056,-0.5,-0.6,-1.2,0.4,
Frank Kaminsky,Wisconsin,2015,1,9,2017,3,24,CHO,PF,79,4,1835,14.4,0.545,0.383,0.271,2.7,14.5,8.5,11.0,1.0,0.9,7.6,20.5,2.3,1.3,3.6,0.094,0.6,-0.8,-0.2,0.8,
Frank Mason III,Kansas,2017,2,34,2017,1,23,SAC,PG,52,2,984,13.0,0.48,0.226,0.303,3.3,12.1,7.5,22.7,1.7,1.0,13.1,22.6,0.0,0.6,0.5,0.027,-1.3,-1.0,-2.3,-0.1,
Frank Mason III,Kansas,2017,2,34,2018,2,24,SAC,PG,38,0,435,12.4,0.502,0.379,0.337,1.4,9.0,5.1,26.3,1.7,0.8,15.6,21.8,0.0,0.3,0.3,0.033,-1.9,-1.3,-3.1,-0.1,
Frank Mason III,Kansas,2017,2,34,2019,3,25,MIL,PG,9,0,118,16.9,0.53,0.412,0.333,4.5,11.1,8.0,35.0,1.9,0.7,15.8,24.3,0.1,0.2,0.4,0.143,-0.6,0.6,0.0,0.1,
Franz Wagner,Michigan,2021,1,8,2021,1,20,ORL,SF,79,79,2429,14.7,0.559,0.278,0.225,3.6,11.9,7.7,15.7,1.4,1.3,10.0,21.2,2.1,1.9,4.0,0.079,-0.4,-0.3,-0.7,0.8,ROY-5
Franz Wagner,Michigan,2021,1,8,2022,2,21,ORL,SF,80,80,2609,15.9,0.589,0.322,0.288,3.0,11.2,7.1,17.2,1.4,0.6,11.7,23.5,3.1,2.3,5.4,0.099,0.4,-0.5,-0.1,1.3,
Franz Wagner,Michigan,2021,1,8,2023,3,22,ORL,SF,72,72,2337,17.6,0.575,0.305,0.291,3.6,15.7,9.6,18.8,1.6,1.1,10.0,25.7,3.1,3.2,6.4,0.131,0.9,0.3,1.2,1.9,
GG Jackson II,South Carolina,2023,2,45,2023,1,19,MEM,PF,48,18,1233,13.7,0.554,0.508,0.272,4.5,13.2,8.7,8.0,1.1,1.8,9.3,24.2,0.2,1.1,1.2,0.048,-0.2,-1.8,-2.0,0.0,
GG Jackson II,South Carolina,2023,2,45,2024,2,20,MEM,PF,29,3,459,9.3,0.482,0.477,0.201,6.3,14.8,10.6,8.2,1.2,1.0,12.5,21.7,-0.4,0.4,0.1,0.009,-3.3,-2.0,-5.3,-0.4,
GG Jackson II,South Carolina,2023,2,45,2025,3,21,MEM,PF,4,0,20,2.9,0.282,0.5,0.25,5.3,5.5,5.4,0.0,4.7,0.0,0.0,18.4,-0.1,0.0,0.0,-0.104,-8.8,-1.8,-10.6,0.0,
Gani Lawal,Georgia Tech,2010,2,46,2010,1,22,PHO,PF,1,0,2,-9.1,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-0.009,-16.9,1.9,-15.0,0.0,
Gary Harris,Michigan State,2014,1,19,2014,1,20,DEN,SG,55,6,719,4.9,0.395,0.475,0.217,3.0,6.7,4.8,5.9,2.7,0.8,13.8,16.6,-1.2,0.5,-0.7,-0.046,-5.6,0.3,-5.3,-0.6,
Gary Harris,Michigan State,2014,1,19,2015,2,21,DEN,SG,76,76,2439,12.7,0.566,0.388,0.174,2.4,7.7,5.0,9.5,2.0,0.6,10.6,16.5,2.8,1.2,4.0,0.079,-0.6,-0.2,-0.9,0.7,
Gary Harris,Michigan State,2014,1,19,2016,3,22,DEN,SG,57,56,1782,16.5,0.611,0.4,0.21,3.0,8.0,5.5,13.6,1.9,0.3,9.8,18.4,3.9,0.7,4.6,0.124,1.5,-0.9,0.7,1.2,
Gary Trent Jr.,Duke,2018,2,37,2018,1,20,POR,SG,15,1,111,3.6,0.377,0.42,0.14,1.0,9.4,5.3,6.2,0.4,1.4,7.0,21.7,-0.3,0.1,-0.2,-0.092,-6.6,-4.2,-10.8,-0.2,
Gary Trent Jr.,Duke,2018,2,37,2019,2,21,POR,SF,61,8,1332,12.9,0.587,0.608,0.102,2.0,5.8,3.9,6.3,1.7,1.0,4.4,15.3,2.2,0.3,2.5,0.089,0.5,-0.8,-0.3,0.6,
Gary Trent Jr.,Duke,2018,2,37,2020,3,22,2TM,SG,58,38,1802,12.1,0.534,0.546,0.135,1.6,7.7,4.6,6.6,1.5,0.5,4.9,20.9,1.0,0.7,1.7,0.045,-0.5,-1.7,-2.3,-0.1,
George King,Colorado,2018,2,59,2018,1,25,PHO,SF,1,0,6,1.9,,,,0.0,18.8,9.2,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-0.001,-5.8,-2.1,-7.9,0.0,
